Timestamp,ID_Giocatrice,Data,Qualita_Sonno,Fatica,Readines,Dolori,Note
25/08/2026 22.09.00,11,2026-08-26,7,5,"7,5",3,
25/08/2026,7,2026-08-26,7,3,8,0,
25/08/2026 22.12.00,13,2026-08-26,1,6,7,5,tendine d'achille
25/08/2026 22.13.00,1,2026-08-26,8,4,9,3,
25/08/2026 22.32.00,5,2026-08-26,8,4,8,1,Rettificato sonno a 8 in messaggio successivo
25/08/2026,12,2026-08-26,7,3,8,0,
25/08/2026,2,2026-08-26,7,4,7,2,braccio e mano come ieri
25/08/2026 22.36.00,9,2026-08-26,6,2,9,3,
25/08/2026,4,2026-08-26,8,4,8,3,
25/08/2026,14,2026-08-26,5,3,9,5,first day of period (wrist 6)
24/08/2026 23.26.00,5,2026-08-25,,2,9,0,
24/08/2026 23.27.00,3,2026-08-25,,2,9,2,
24/08/2026 23.28.00,6,2026-08-25,,5,8,2,
24/08/2026,4,2026-08-25,,2,9,2,
24/08/2026 23.29.00,9,2026-08-25,,3,8,3,spalla
24/08/2026 23.31.00,1,2026-08-25,,1,10,0,
24/08/2026,2,2026-08-25,,7,8,1,
24/08/2026 23.44.00,13,2026-08-25,,4,9,4,tendine d'Achille
24/08/2026,12,2026-08-25,,2,8,0,
25/08/2026,7,2026-08-25,,3,9,0,Fatica rettificata da 9 a 3
25/08/2026,8,2026-08-25,,3,10,2,
2026-08-24T11:59:14.189Z,12,2026-08-24,4,1,4,,
2026-08-24T12:18:35.633Z,12,2026-08-24,4,1,4,,
2026-08-24T13:48:53.005Z,14,2026-08-24,4,1,4,,
2026-08-21T07:58:17.338Z,13,2026-08-21,4,1,5,,
2026-08-21T08:03:24.552Z,11,2026-08-21,3,2,3,,
2026-08-21T11:16:17.425Z,12,2026-08-21,5,1,5,,
2026-08-21T15:42:15.445Z,4,2026-08-21,3,3,3,"I had long trips to Serbia to pick up Visa for Italy in last two days, I traveled with bus and it was really uncomfortable so I feel pain in my body and im really tired. That is why my gradws are like this",
2026-08-21T15:45:12.931Z,3,2026-08-21,3,1,4,,
2026-08-20T07:28:33.894Z,7,2026-08-20,4,1,4,,
2026-08-20T08:05:05.996Z,3,2026-08-20,1,3,2,,
2026-08-20T08:25:08.063Z,7,2026-08-20,4,1,4,,
2026-08-19T05:43:47.593Z,7,2026-08-19,3,1,4,,
2026-08-19T08:34:31.640Z,13,2026-08-19,4,1,4,,
2026-08-19T08:48:03.430Z,13,2026-08-19,4,1,4,,
2026-08-19T08:48:38.066Z,13,2026-08-19,4,1,5,,
2026-08-19T11:51:11.432Z,3,2026-08-19,4,1,2,,
2026-08-19T12:39:06.324Z,6,2026-08-19,5,1,3,,
2026-08-19T17:32:20.889Z,5,2026-08-19,3,1,4,,
2026-08-18T05:59:30.909Z,4,2026-08-18,5,1,4,,
2026-08-18T07:05:46.213Z,12,2026-08-18,4,1,4,,
2026-08-18T07:46:51.806Z,11,2026-08-18,3,2,4,,
2026-08-18T08:41:08.732Z,7,2026-08-18,5,1,4,,
2026-08-18T12:08:57.306Z,2,2026-08-18,4,1,4,,
2026-08-16T22:23:03.378Z,13,2026-08-17,4,1,4,,
2026-08-17T07:41:45.063Z,13,2026-08-17,4,1,4,,
2026-08-17T07:45:39.732Z,9,2026-08-17,4,1,4,,
2026-08-17T08:04:46.981Z,13,2026-08-17,4,2,4,,
2026-08-17T08:34:22.224Z,12,2026-08-17,4,1,4,,
2026-08-17T12:13:56.076Z,5,2026-08-17,3,1,4,,
2026-08-17T12:17:12.185Z,2,2026-08-17,4,1,4,,
2026-08-16T07:20:05.064Z,9,2026-08-16,4,1,4,,
2026-08-16T11:34:08.532Z,4,2026-08-16,5,1,4,,
2026-08-16T21:30:40.303Z,11,2026-08-16,4,1,4,,
2026-08-15T10:14:32.170Z,5,2026-08-15,4,1,4,,
2026-08-15T10:39:50.286Z,12,2026-08-15,4,1,4,,
2026-08-14T06:52:12.520Z,9,2026-08-14,4,1,4,,
2026-08-14T07:30:38.088Z,13,2026-08-14,4,1,4,,
2026-08-14T07:58:20.771Z,11,2026-08-14,2,4,3,,
2026-08-14T12:59:48.892Z,7,2026-08-14,3,1,3,,
2026-08-14T14:20:25.002Z,2,2026-08-14,4,1,4,,
2026-08-14T15:13:36.758Z,12,2026-08-14,5,1,4,,
2026-08-13T08:56:59.640Z,13,2026-08-13,4,1,4,,
2026-08-13T10:13:20.780Z,12,2026-08-13,5,1,3,,
2026-08-13T12:18:23.083Z,2,2026-08-13,5,1,4,,
2026-08-13T15:48:49.273Z,4,2026-08-13,3,1,4,"I was on camping, that is a reason of a bad sleep",
2026-08-12T06:00:01.974Z,11,2026-08-12,3,3,4,"un po’ affaticata dalla seduta scorsa, ma dolori normali",
2026-08-12T08:14:59.750Z,7,2026-08-12,3,1,3,,
2026-08-12T10:09:49.906Z,6,2026-08-12,3,2,3,,
2026-08-12T12:59:26.620Z,9,2026-08-12,4,1,4,,
2026-08-11T06:02:49.916Z,7,2026-08-11,4,1,4,,
2026-08-11T07:02:18.473Z,7,2026-08-11,4,1,4,,
2026-08-11T08:49:18.866Z,13,2026-08-11,4,2,4,,
2026-08-11T12:11:47.869Z,2,2026-08-11,5,1,4,,
2026-08-11T12:57:18.538Z,4,2026-08-11,4,1,4,,
2026-08-10T07:26:11.650Z,11,2026-08-10,3,1,3,,
2026-08-10T07:53:24.098Z,6,2026-08-10,4,1,4,,
2026-08-10T08:07:42.308Z,12,2026-08-10,3,3,3,dolore alla schiena lombare pre ciclo ma ho fatto davvero fatica anche a dormire,
2026-08-10T13:40:37.664Z,6,2026-08-10,4,1,3,,
2026-08-10T14:35:25.360Z,9,2026-08-10,4,1,4,,
2026-08-10T14:56:18.564Z,8,2026-08-10,5,5,5,,
2026-08-09T08:27:47.387Z,12,2026-08-09,4,1,4,,
2026-08-09T16:30:43.778Z,9,2026-08-09,4,1,4,,
2026-08-09T17:31:55.255Z,11,2026-08-09,4,1,4,,
2026-08-08T14:23:25.015Z,4,2026-08-08,5,1,4,,
2026-08-07T06:53:42.192Z,7,2026-08-07,4,1,4,,
2026-08-07T07:11:38.912Z,12,2026-08-07,4,1,3,,
2026-08-07T09:01:02.867Z,3,2026-08-07,4,1,4,,
2026-08-07T09:15:19.323Z,13,2026-08-07,4,2,3,,
2026-08-07T09:55:49.710Z,3,2026-08-07,4,1,3,,
2026-08-07T13:57:26.209Z,9,2026-08-07,5,1,4,,
2026-08-07T20:13:32.979Z,11,2026-08-07,4,1,4,,
2026-08-06T08:08:55.159Z,8,2026-08-06,4,5,5,,
2026-08-06T08:26:03.149Z,8,2026-08-06,5,5,5,,
2026-08-06T08:29:17.064Z,12,2026-08-06,4,1,4,,
2026-08-06T11:53:04.596Z,4,2026-08-06,4,1,5,,
2026-08-06T12:20:04.066Z,2,2026-08-06,5,1,4,,
2026-08-06T12:20:44.209Z,2,2026-08-06,4,2,4,,
2026-08-05T06:13:05.737Z,7,2026-08-05,5,1,4,,
2026-08-05T08:01:05.856Z,12,2026-08-05,3,1,4,,
2026-08-05T08:28:45.926Z,3,2026-08-05,4,1,3,,
2026-08-05T08:47:26.700Z,13,2026-08-05,4,1,3,,
2026-08-05T12:49:25.747Z,9,2026-08-05,4,1,4,,
2026-08-04T07:38:17.054Z,7,2026-08-04,4,1,4,,
2026-08-04T09:21:09.452Z,3,2026-08-04,4,1,3,,
2026-08-04T12:13:11.247Z,2,2026-08-04,3,1,4,,
2026-08-04T13:55:10.497Z,4,2026-08-04,5,1,5,,
2026-08-04T14:30:39.319Z,12,2026-08-04,3,1,5,,
2026-08-03T07:42:53.078Z,13,2026-08-03,4,1,4,,
2026-08-03T07:56:22.447Z,12,2026-08-03,4,1,4,,
2026-08-03T08:41:40.614Z,12,2026-08-03,4,1,4,,
2026-08-03T09:21:57.654Z,9,2026-08-03,5,1,4,,
2026-08-03T09:36:58.187Z,9,2026-08-03,4,1,4,,
2026-08-03T09:40:38.121Z,5,2026-08-03,3,1,3,,
2026-08-03T11:46:54.596Z,2,2026-08-03,5,1,4,Mal di testa,
2026-08-02T21:34:46.614Z,14,2026-08-02,4,1,4,,
2026-08-01T07:48:34.851Z,7,2026-08-01,4,1,5,,
2026-08-01T08:42:09.907Z,12,2026-08-01,4,1,4,,
2026-08-01T10:35:35.990Z,5,2026-08-01,5,2,4,,
2026-08-01T11:43:22.024Z,3,2026-08-01,3,1,3,,
2026-08-01T14:55:57.212Z,4,2026-08-01,5,2,4,,
2026-08-01T16:23:58.234Z,9,2026-08-01,5,1,3,,
2026-07-31T08:31:41.703Z,7,2026-07-31,4,1,4,,
2026-07-31T08:36:41.513Z,13,2026-07-31,4,1,4,,
2026-07-31T12:15:14.694Z,2,2026-07-31,5,2,4,,
2026-07-30T07:15:42.367Z,12,2026-07-30,4,1,4,,
2026-07-30T07:16:09.054Z,12,2026-07-30,4,1,4,,
2026-07-30T08:31:36.814Z,8,2026-07-30,4,5,5,,
2026-07-30T08:32:08.689Z,8,2026-07-30,5,5,5,,
2026-07-30T13:01:48.975Z,4,2026-07-30,5,1,4,,
2026-07-29T06:42:00.081Z,9,2026-07-29,5,1,4,,
2026-07-29T11:13:12.949Z,12,2026-07-29,4,1,4,,
2026-07-29T12:29:31.043Z,2,2026-07-29,4,2,5,,
2026-07-29T13:02:14.595Z,3,2026-07-29,3,1,3,,
2026-07-29T16:30:22.205Z,5,2026-07-29,4,1,4,,
2026-07-29T17:36:03.312Z,12,2026-07-29,4,1,4,,
2026-07-28T06:51:40.317Z,9,2026-07-28,4,1,4,,
2026-07-28T07:55:48.112Z,3,2026-07-28,3,1,3,,
2026-07-28T11:24:06.075Z,7,2026-07-28,4,1,4,,
2026-07-28T11:24:27.383Z,4,2026-07-28,5,1,5,,
2026-07-28T14:40:11.650Z,13,2026-07-28,4,1,3,,
2026-07-28T14:42:31.727Z,12,2026-07-28,2,1,2,,
2026-07-28T15:50:40.142Z,8,2026-07-28,4,4,3,,
2026-07-27T10:13:32.736Z,13,2026-07-27,3,1,3,,
2026-07-27T12:29:11.688Z,2,2026-07-27,4,1,4,,
2026-07-26T17:59:05.130Z,9,2026-07-26,5,1,4,,
2026-07-25T08:31:29.243Z,7,2026-07-25,3,1,3,,
2026-07-25T11:55:00.686Z,2,2026-07-25,4,4,4,,
2026-07-25T17:30:21.918Z,4,2026-07-25,5,1,4,,
2026-07-24T06:27:18.181Z,9,2026-07-24,5,1,4,,
2026-07-24T08:08:49.556Z,3,2026-07-24,4,1,4,,
2026-07-24T15:38:04.876Z,13,2026-07-24,4,2,3,,
2026-07-24T15:50:02.954Z,12,2026-07-24,5,1,3,,
2026-07-23T07:31:22.432Z,7,2026-07-23,4,2,3,,
2026-07-23T07:46:25.496Z,13,2026-07-23,4,2,2,,
2026-07-23T08:42:15.811Z,3,2026-07-23,4,1,4,,
2026-07-23T10:47:39.420Z,8,2026-07-23,4,4,4,,
2026-07-23T11:04:23.872Z,4,2026-07-23,5,1,4,,
2026-07-23T17:12:33.499Z,12,2026-07-23,5,1,4,,
2026-07-22T06:29:04.820Z,9,2026-07-22,4,2,3,,
2026-07-22T09:46:20.146Z,3,2026-07-22,4,1,3,,
2026-07-22T09:46:46.094Z,13,2026-07-22,2,1,4,,
2026-07-22T11:35:36.787Z,2,2026-07-22,5,1,4,,
2026-07-22T17:49:46.283Z,12,2026-07-22,5,1,4,,
2026-07-22T17:50:21.716Z,12,2026-07-22,5,1,4,,
2026-07-22T17:50:39.441Z,12,2026-07-22,5,1,4,,
2026-07-21T10:17:00.850Z,13,2026-07-21,2,1,4,,
2026-07-21T11:14:43.243Z,7,2026-07-21,3,1,3,,
2026-07-21T11:20:52.583Z,4,2026-07-21,5,3,3,Period pain…,
2026-07-21T15:34:09.830Z,12,2026-07-21,4,1,5,,
2026-07-21T16:01:50.912Z,8,2026-07-21,4,1,3,,
2026-07-20T07:18:59.655Z,9,2026-07-20,4,1,5,,
2026-07-20T12:04:40.273Z,2,2026-07-20,5,1,4,,
2026-07-20T14:16:13.786Z,14,2026-07-20,4,1,4,,
2026-07-20T16:41:41.798Z,12,2026-07-20,5,1,4,,
2026-07-19T06:14:47.823Z,9,2026-07-19,3,1,3,,
2026-07-18T14:39:42.607Z,4,2026-07-18,5,1,3,,
2026-07-17T04:45:56.120Z,9,2026-07-17,4,1,4,,
2026-07-17T12:05:55.879Z,2,2026-07-17,3,4,3,Fastidio al trapezio anche al tatto,
2026-07-16T04:40:44.316Z,9,2026-07-16,4,1,4,,
2026-07-16T10:55:22.507Z,4,2026-07-16,4,1,3,,
2026-07-16T11:36:21.602Z,13,2026-07-16,3,1,3,Primo giorno di ciclo sono un po’ sotto tono,
2026-07-15T10:55:37.198Z,13,2026-07-15,4,2,3,Inizia lo stress dei sondaggi?? 🫠🫠🫠,
2026-07-15T11:14:44.904Z,1,2026-07-15,5,1,4,,
2026-07-15T11:57:12.534Z,2,2026-07-15,4,1,3,,
2026-07-15T17:19:36.446Z,12,2026-07-15,3,1,4,,
2026-07-14T11:45:15.334Z,4,2026-07-14,4,2,5,"A bit sornes, the rest is okay",
2026-07-14T12:25:29.854Z,1,2026-07-14,4,1,4,,
